ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE
2675	ʔ o ɦ.³¹	91	1080	drink(v.)	SouthernPwo	Ɂo³¹̈	ʔ o ɦ.³¹	Ɂo³¹ ̈		H
2676	l u ⁵³	92	1104	dry(v.)	SouthernPwo	lu⁵³	l u ⁵³	lu⁵³		
2677	m ə̃ɨ ɦ.³¹	93	1091	drunk	SouthernPwo	mə̃ɨ³¹̈	m ə̃ɨ ɦ.³¹	mə̃ɨ³¹ ̈		
2678	ʔ i ⁵⁵	94	1116	dung, excrement	SouthernPwo	Ɂi⁵⁵	ʔ i ⁵⁵	Ɂi⁵⁵		
2679	n a ³³	95	1129	ear	SouthernPwo	na³³	n a ³³	na³³	ear	
2680	j o ⁵³	97	1149	easy	SouthernPwo	jo⁵³	j o ⁵³	jo⁵³		
2681	ʔ ɔ̃ ⁵⁵	98	1160	eat	SouthernPwo	Ɂɔ̃⁵⁵	ʔ ɔ̃ ⁵⁵	Ɂɔ̃⁵⁵		
2682	d ei ⁵⁵	99	1173	egg	SouthernPwo	dei⁵⁵	d ei ⁵⁵	dei⁵⁵		
2683	x u.ʔ ⁴⁵	101	1195	eight	SouthernPwo	xuɁ⁴⁵	x u.ʔ ⁴⁵	xuɁ⁴⁵		
2684	k ə ¹¹ + cʰ ɔ̃ ⁵³	102	1209 1207	elephant	SouthernPwo	kə¹¹chɔ̃⁵³	k ə ¹¹ + cʰ ɔ̃ ⁵³	kə¹¹chɔ̃⁵³		
2685	pʰ u.ʔ ²¹	103	1226	embrace, hug	SouthernPwo	phuɁ²¹	pʰ u.ʔ ²¹	phuɁ²¹		
2686	pʰ ai.ʔ ⁴⁵	106	1255	extinguish (t.v.)	SouthernPwo	phaiɁ⁴⁵	pʰ ai.ʔ ⁴⁵	phaiɁ⁴⁵		
2687	m e.ʔ ⁴⁵	107	1268	eye, face	SouthernPwo	meɁ⁴⁵	m e.ʔ ⁴⁵	meɁ⁴⁵		
2688	tʰ e.ʔ ⁴⁵	108	1277	fall down	SouthernPwo	theɁ⁴⁵	tʰ e.ʔ ⁴⁵	theɁ⁴⁵		
2689	b õ ⁵⁵	109	1290	fat (adj)	SouthernPwo	bõ⁵⁵	b õ ⁵⁵	bõ⁵⁵		
2690	cʰ õ ⁵⁵	110	1301	feather, fur, body hair	SouthernPwo	chõ⁵⁵	cʰ õ ⁵⁵	chõ⁵⁵		
2691	m ɨ ⁵⁵	112	1337	female, woman	SouthernPwo	mɨ⁵⁵	m ɨ ⁵⁵	mɨ⁵⁵		
2692	m u ³³	113	1323	female (humans), mother	SouthernPwo	mu³³	m u ³³	mu³³		
2693	m i ⁵⁵	114	1350	fire	SouthernPwo	mi⁵⁵	m i ⁵⁵	mi⁵⁵		
2694	j ɛ ³³	116	1372	five	SouthernPwo	jɛ³³	j ɛ ³³	jɛ³³		
2695	ɣ aə.ʔ ⁴⁵	117	1385	flank, rib	SouthernPwo	ɣaəɁ⁴⁵	ɣ aə.ʔ ⁴⁵	ɣaəɁ⁴⁵		
2696	b ai ⁵⁵	118	1397	flat	SouthernPwo	bai⁵⁵	b ai ⁵⁵	bai⁵⁵		
2697	kʰ.l ei ⁵³	119	1407	flea	SouthernPwo	khlei⁵³	kʰ.l ei ⁵³	khlei⁵³		
2698	j a ⁵⁵	120	1420	flesh, meat	SouthernPwo	ja⁵⁵	j a ⁵⁵	ja⁵⁵		
2699	pʰ ɔ ⁵³	121	1432	flower	SouthernPwo	phɔ⁵³	pʰ ɔ ⁵³	phɔ⁵³		
2700	k.l a Ø/ɦ.³¹	123	1443	forest, jungle	SouthernPwo	kla³¹̈	k.l a Ø/ɦ.³¹	kla³¹ ̈		
2701	l ei ³³	124	1464	four	SouthernPwo	lei³³	l ei ³³	lei³³		
2702	tʰ.w i ⁵⁵ + m e̤i ³¹	125	1040 316	fox, wolf	SouthernPwo	thwi⁵⁵mei³¹̈	tʰ.w i ⁵⁵ + m e̤i ³¹	thwi⁵⁵mei³¹ ̈	dog wild	
2703	d i ⁵⁵	126	1498	frog	SouthernPwo	di⁵⁵	d i ⁵⁵	di⁵⁵	frog	
2704	θ a ⁵⁵	128	1519	fruit	SouthernPwo	θa⁵⁵	θ a ⁵⁵	θa⁵⁵		
2705	ʔ ɛ̃i Ø/ɦ.³¹	130	1539	ginger	SouthernPwo	Ɂɛ̃i³¹̈	ʔ ɛ̃i Ø/ɦ.³¹	Ɂɛ̃i³¹ ̈		
2706	l e ɦ.³¹	131	1554	go	SouthernPwo	le³¹̈	l e ɦ.³¹	le³¹ ̈		
2707	tʰ.w e !³³/⁵⁵	132	1577	grasshopper	SouthernPwo	thwe³³	tʰ.w e !³³/⁵⁵	thwe³³		
2708	l ei ɦ.³¹	133	1565	grandchild	SouthernPwo	lei³¹̈	l ei ɦ.³¹	lei³¹ ̈		
2709	l u Ø/ɦ.³¹	134	1588	great-grandchild	SouthernPwo	lu³¹̈	l u Ø/ɦ.³¹	lu³¹ ̈		
2710	l a Ø/ɦ.³¹	135	1599	great-great-gandchild	SouthernPwo	la³¹̈	l a Ø/ɦ.³¹	la³¹ ̈		
2711	tʰ u ³³	137	1632	handle	SouthernPwo	thu³³	tʰ u ³³	thu³³		
2712	l ai.ʔ ⁴⁵	139	1664	hawk, eagle	SouthernPwo	laiɁ⁴⁵	l ai.ʔ ⁴⁵	laiɁ⁴⁵		
2713	ʔ o ⁵⁵	140	1652	have, be, exist, stay, there is	SouthernPwo	Ɂo⁵⁵	ʔ o ⁵⁵	Ɂo⁵⁵	exist	
2714	θ a.ʔ ²¹	142	1687	heart	SouthernPwo	θaɁ²¹	θ a.ʔ ²¹	θaɁ²¹		
2715	θ o ⁵⁵	144	1708	hemp	SouthernPwo	θo⁵⁵	θ o ⁵⁵	θo⁵⁵		
2716	kʰ.w ɔ̃ ³³	145	1720	hip	SouthernPwo	khwɔ̃³³	kʰ.w ɔ̃ ³³	khwɔ̃³³		
2717	n õu Ø/ɦ.³¹	147	1742	horn	SouthernPwo	nõu³¹̈	n õu Ø/ɦ.³¹	nõu³¹ ̈		
2718	pʰ.l ə̤̃ɨ ⁵³	148	1755	hornet	SouthernPwo	phlə̃ɨ⁵³	pʰ.l ə̤̃ɨ ⁵³	phlə̃ɨ⁵³		
2719	k ə ¹¹ + θ i ⁵⁵	149	1768 1767	horse	SouthernPwo	kə¹¹θi⁵⁵	k ə ¹¹ + θ i ⁵⁵	kə¹¹θi⁵⁵		
2720	j a ɦ.³¹	150	1786	hundred	SouthernPwo	ja³¹̈	j a ɦ.³¹	ja³¹ ̈		
2721	w a ɦ.³¹	151	1803	husband	SouthernPwo	wa³¹̈	w a ɦ.³¹	wa³¹ ̈		
2722	cʰ a ⁵³	152	1815	ill, painful, sick	SouthernPwo	cha⁵³	cʰ a ⁵³	cha⁵³		
2723	x a ³³	153	1829	insect	SouthernPwo	xa³³	x a ³³	xa³³	insect	
2724	!x/p.!w/ɣ ai.ʔ ⁴⁵	154	1840	intestines	SouthernPwo	xwaiɁ⁴⁵	!x/p.!w/ɣ ai.ʔ ⁴⁵	xwaiɁ⁴⁵		
2725	tʰ a.ʔ ²¹	155	1853	iron	SouthernPwo	thaɁ²¹	tʰ a.ʔ ²¹	thaɁ²¹		
2726	θ a.ʔ ²¹	156	1866	itchy	SouthernPwo	θaɁ²¹	θ a.ʔ ²¹	θaɁ²¹		
2727	l i ³³	157	1878	kidney	SouthernPwo	li³³	l i ³³	li³³		
2728	l a ⁵⁵	158	1894	leaf	SouthernPwo	la⁵⁵	l a ⁵⁵	la⁵⁵		
2729	w a.ʔ ⁴⁵	159	1907	leech (land~)	SouthernPwo	waɁ⁴⁵	w a.ʔ ⁴⁵	waɁ⁴⁵		
2730	l ei ɦ.³¹	160	1921	leech (water~)	SouthernPwo	lei³¹̈	l ei ɦ.³¹	lei³¹ ̈		
2731	c i ⁵⁵	161	1934	left (side)	SouthernPwo	ci⁵⁵	c i ⁵⁵	ci⁵⁵		
2732	kʰ ɔ̃ ⁵⁵	162	1947	leg	SouthernPwo	khɔ̃⁵⁵	kʰ ɔ̃ ⁵⁵	khɔ̃⁵⁵		
2733	pʰ.l ai.ʔ ⁴⁵	163	1959	lemur (flying~), flying squirrel	SouthernPwo	phlaiɁ⁴⁵	pʰ.l ai.ʔ ⁴⁵	phlaiɁ⁴⁵		
2734	l ai ⁵⁵	164	1971	lick (v.)	SouthernPwo	lai⁵⁵	l ai ⁵⁵	lai⁵⁵		
2735	m ei ⁵³	165	1981	lie down, sleep	SouthernPwo	mei⁵³	m ei ⁵³	mei⁵³	sleep	
2736	kʰ.w i ⁵³	166	1993	light (~weight)	SouthernPwo	khwi⁵³	kʰ.w i ⁵³	khwi⁵³		
2737	tʰ a ⁵³	167	2005	linear measure of about 8-9 inches (a span)	SouthernPwo	tha⁵³	tʰ a ⁵³	tha⁵³		
2738	pʰ.l a ³³	168	46	linear measure of about half a yard (closed-hand)	SouthernPwo	phla³³	pʰ.l a ³³	phla³³	arrow	
2739	tʰ ə̤̃ɨ ³¹	169	2025	linear measure of about half a yard (open-hand)	SouthernPwo	thə̃ɨ³¹	tʰ ə̤̃ɨ ³¹	thə̃ɨ³¹		
2740	kʰ.l ãi ⁵³	170	2036	linear measure of about two yards	SouthernPwo	khlãi⁵³	kʰ.l ãi ⁵³	khlãi⁵³		
2741	n a ⁵⁵	171	2046	listen to	SouthernPwo	na⁵⁵	n a ⁵⁵	na⁵⁵	ear-listen	
2742	ʔ õ ⁵⁵	172	2059	live, stay	SouthernPwo	Ɂõ⁵⁵	ʔ õ ⁵⁵	Ɂõ⁵⁵	live-exist	
2743	θ ə̤̃ɨ ⁵⁵	173	2072	liver	SouthernPwo	θə̃ɨ⁵⁵	θ ə̤̃ɨ ⁵⁵	θə̃ɨ⁵⁵		
2744	j ai.ʔ ⁴⁵	174	2098	long (of time)	SouthernPwo	jaiɁ⁴⁵	j ai.ʔ ⁴⁵	jaiɁ⁴⁵		
2745	tʰ o ⁵³	175	2086	long (of length), tall, high	SouthernPwo	tho⁵³	tʰ o ⁵³	tho⁵³		
2746	k ə ¹¹ + cʰ ɛ̃i ⁵³	177	2121 2120	loris	SouthernPwo	kə¹¹chɛ̃i⁵³	k ə ¹¹ + cʰ ɛ̃i ⁵³	kə¹¹chɛ̃i⁵³		
2747	cʰ ɔ̃ ⁵³ + x a ³³	178	579 1829	louse (chicken~), insect	SouthernPwo	chɔ̃⁵³xa³³	cʰ ɔ̃ ⁵³ + x a ³³	chɔ̃⁵³xa³³	chicken insect	
2748	θ ə̃ɨ̯ ⁵⁵	179	2153	louse (head~)	SouthernPwo	θə̃ɨ̯_⁵⁵	θ ə̃ɨ̯ ⁵⁵	θə̃ɨ̯ ⁵⁵	louse	
2749	!b/p u ³³ + θ u.ʔ ²¹	180	2167 2166	lung	SouthernPwo	bu³³θuɁ²¹	!b/p u ³³ + θ u.ʔ ²¹	bu³³θuɁ²¹		
2750	l õu ⁵⁵	181	2180	maggot	SouthernPwo	lõu⁵⁵	l õu ⁵⁵	lõu⁵⁵		
2751	pʰ a ⁵³	182	2193	male (of animals), father	SouthernPwo	pha⁵³	pʰ a ⁵³	pha⁵³		
2752	kʰ.w !a/o ⁵³	183	2205	man, male	SouthernPwo	khwa⁵³	kʰ.w !a/o ⁵³	khwa⁵³		
2753	kʰ u.ʔ ²¹	184	2219	mango	SouthernPwo	khuɁ²¹	kʰ u.ʔ ²¹	khuɁ²¹		
2754	ʔ a ⁵⁵	185	2230	many, much	SouthernPwo	Ɂa⁵⁵	ʔ a ⁵⁵	Ɂa⁵⁵		
2755	kʰ.l ɔ ⁵⁵	186	2243	mat	SouthernPwo	khlɔ⁵⁵	kʰ.l ɔ ⁵⁵	khlɔ⁵⁵		
2756	w ai Ø/ɦ.³¹	187	2255	milipede	SouthernPwo	wai³¹̈	w ai Ø/ɦ.³¹	wai³¹ ̈		
2757	w ei Ø/ɦ.³¹	188	2279	mole	SouthernPwo	wei³¹̈	w ei Ø/ɦ.³¹	wei³¹ ̈	mole	
2758	kʰ ɔu.ʔ ³¹	190	2302	monitor lizard (land~)	SouthernPwo	khɔuɁ³¹	kʰ ɔu.ʔ ³¹	khɔuɁ³¹		
2759	ɣ e̤i ³¹	191	2311	monitor lizard (water~)	SouthernPwo	ɣei³¹̈	ɣ e̤i ³¹	ɣei³¹ ̈		
2760	l a Ø/ɦ.³¹	193	2328	moon, month	SouthernPwo	la³¹̈	l a Ø/ɦ.³¹	la³¹ ̈		
2761	j ou ³³	195	2349	mouse, rat	SouthernPwo	jou³³	j ou ³³	jou³³	muroid	
2762	m ei ⁵⁵	197	2372	nail	SouthernPwo	mei⁵⁵	m ei ⁵⁵	mei⁵⁵		
2763	m ɛĩ ³¹	198	2388	name	SouthernPwo	mɛĩ³¹̈	m ɛĩ ³¹	mɛĩ ³¹ ̈		
2764	ʔ ãi ⁵⁵	199	2401	narrow	SouthernPwo	Ɂãi⁵⁵	ʔ ãi ⁵⁵	Ɂãi⁵⁵		
2765	d i ɦ.³¹	200	2413	navel, umbilical cord	SouthernPwo	di³¹̈	d i ɦ.³¹	di³¹ ̈	navel	
2766	kʰ o.ʔ ²¹ + b o ɦ.³¹	201	2428 2429	neck, cheek	SouthernPwo	khoɁ²¹bo³¹̈	kʰ o.ʔ ²¹ + b o ɦ.³¹	khoɁ²¹bo³¹ ̈	/kho neck	H
2767	θ ɔ̃ ⁵³	202	2442	new	SouthernPwo	θɔ̃⁵³	θ ɔ̃ ⁵³	θɔ̃⁵³		!borrowing
2768	kʰ.w i ⁵³	203	2454	nine	SouthernPwo	khwi⁵³	kʰ.w i ⁵³	khwi⁵³		
2769	n i ³³	204	2468	obtain, receive, take, get	SouthernPwo	ni³³	n i ³³	ni³³		
2770	l ei ɦ.³¹	206	2493	old (of things)	SouthernPwo	lei³¹̈	l ei ɦ.³¹	lei³¹ ̈		
2771	l !ə/a ɦ.³¹	207	2506	one	SouthernPwo	lə³¹̈	l !ə/a ɦ.³¹	lə³¹ ̈		
2772	ʔ ɔ̃ Ø/ɦ.³¹	208	2520	open (the mouth)	SouthernPwo	Ɂɔ̃³¹̈	ʔ ɔ̃ Ø/ɦ.³¹	Ɂɔ̃³¹ ̈		
2773	j a ⁵³	210	2539	palm (of the hand)	SouthernPwo	ja⁵³	j a ⁵³	ja⁵³		
2774	j !ɨ/u Ø/ɦ.³¹	211	2547	pangolin, anteater	SouthernPwo	jɨ³¹̈	j !ɨ/u Ø/ɦ.³¹	jɨ³¹ ̈		
2775	k ei ⁵⁵	212	2559	parrot, parakeet	SouthernPwo	kei⁵⁵	k ei ⁵⁵	kei⁵⁵		
2776	!ɕ/p.Ø/ɣ a.ʔ ⁴⁵	214	2579	peacock	SouthernPwo	ɕaɁ⁴⁵	!ɕ/p.Ø/ɣ a.ʔ ⁴⁵	ɕaɁ⁴⁵		
2777	pʰ õ ɦ.³¹	215	2590	pen, coop	SouthernPwo	phõ³¹̈	pʰ õ ɦ.³¹	phõ³¹ ̈		
2778	tʰ i ⁵⁵	216	2604	penis	SouthernPwo	thi⁵⁵	tʰ i ⁵⁵	thi⁵⁵		
2779	ɣ ai.ʔ ⁴⁵	217	2616	pheasant	SouthernPwo	ɣaiɁ⁴⁵	ɣ ai.ʔ ⁴⁵	ɣaiɁ⁴⁵		
2780	tʰ u.ʔ ²¹	218	315	pig	SouthernPwo	thuɁ²¹	tʰ u.ʔ ²¹	thuɁ²¹	pig	
2781	!p/pʰ.Ø/l õu !ɦ³¹/³¹	219	2637	pile	SouthernPwo	põu³¹̈	!p/pʰ.Ø/l õu !ɦ³¹/³¹	põu³¹ ̈		
2782	c u ɦ.³¹	220	2649	pointed (as of needles), sharp point	SouthernPwo	cu³¹̈	c u ɦ.³¹	cu³¹ ̈		
2783	tʰ ə̃ɨ ɦ.⁵⁵	221	2662	pole	SouthernPwo	thə̃ɨ⁵⁵	tʰ ə̃ɨ ɦ.⁵⁵	thə̃ɨ⁵⁵		
2784	θ ə ⁵⁵ + b a Ø/ɦ.³¹	223	2682 2683	porcupine (brush-tailed~)	SouthernPwo	θə⁵⁵ba³¹̈	θ ə ⁵⁵ + b a Ø/ɦ.³¹	θə⁵⁵ba³¹ ̈		
2785	pʰ ə̃ ɦ.³¹	224	2693	pot	SouthernPwo	phə̃³¹̈	pʰ ə̃ ɦ.³¹	phə̃³¹ ̈		
2786	tʰ õ ³³	225	2708	pound (v.)	SouthernPwo	thõ³³	tʰ õ ³³	thõ³³		
2787	tʰ e.ʔ ²¹	226	2718	pull up	SouthernPwo	theɁ²¹	tʰ e.ʔ ²¹	theɁ²¹		
2788	l õ ³³	227	2725	pumpkin (ash~)	SouthernPwo	lõ³³	l õ ³³	lõ³³		
2789	cʰ ɔ̃ ⁵⁵	228	2735	push	SouthernPwo	chɔ̃⁵⁵	cʰ ɔ̃ ⁵⁵	chɔ̃⁵⁵		
2790	θ u.ʔ ²¹	229	2755	put on, wear	SouthernPwo	θuɁ²¹	θ u.ʔ ²¹	θuɁ²¹		
2791	l ai.ʔ ⁴⁵	230	2744	put on (a necklace), wear	SouthernPwo	laiɁ⁴⁵	l ai.ʔ ⁴⁵	laiɁ⁴⁵		
2792	l ãi ⁵⁵	231	2769	put out (the tongue)	SouthernPwo	lãi⁵⁵	l ãi ⁵⁵	lãi⁵⁵		
2793	w ei ⁵⁵	232	2778	quail	SouthernPwo	wei⁵⁵	w ei ⁵⁵	wei⁵⁵		
2794	p ə ɦ.³¹ + d ɛ ³³	233	2792 4	rabbit, hare	SouthernPwo	pə³¹̈dɛ³³	p ə ɦ.³¹ + d ɛ ³³	pə³¹ ̈dɛ³³		
2795	b ɨ ⁵⁵ + l ɔ̃ Ø/ɦ.³¹	234	2804 2805	raise, feed (animals)	SouthernPwo	bɨ⁵⁵lɔ̃³¹̈	b ɨ ⁵⁵ + l ɔ̃ Ø/ɦ.³¹	bɨ⁵⁵lɔ̃³¹ ̈		
2796	ɣ i ³³	235	2814	rattan	SouthernPwo	ɣi³³	ɣ i ³³	ɣi³³		
2797	b ɔu.ʔ ³¹	236	2825	reach into	SouthernPwo	bɔuɁ³¹	b ɔu.ʔ ³¹	bɔuɁ³¹		
2798	tʰ ɔu.ʔ ³¹	237	2836	resin	SouthernPwo	thɔuɁ³¹	tʰ ɔu.ʔ ³¹	thɔuɁ³¹		
2799	tʰ.w ɛ ⁵⁵	238	2846	right (side)	SouthernPwo	thwɛ⁵⁵	tʰ.w ɛ ⁵⁵	thwɛ⁵⁵		
2800	m ɛ̃i ³¹	239	2858	ripe, cooked	SouthernPwo	mɛ̃i³¹	m ɛ̃i ³¹	mɛ̃i³¹		
2801	tʰ ɛĩ ³¹	240	2871	roast (by stuffing into fresh bamboo sections)	SouthernPwo	thɛĩ_³¹	tʰ ɛĩ ³¹	thɛĩ ³¹		
2802	w ei ³³	241	2881	root	SouthernPwo	wei³³	w ei ³³	wei³³		
2803	tʰ ɔu.ʔ ³¹	243	2901	rub, clean, polish, scrub	SouthernPwo	thɔuɁ³¹	tʰ ɔu.ʔ ³¹	thɔuɁ³¹		
2804	cʰ ə̤̃ɨ ⁵³	245	2922	salty, sweet	SouthernPwo	chə̃ɨ⁵³	cʰ ə̤̃ɨ ⁵³	chə̃ɨ⁵³		
2805	m e.ʔ ²¹	246	2934	sand	SouthernPwo	meɁ²¹	m e.ʔ ²¹	meɁ²¹		
2806	b ɛĩ ⁵⁵	247	2942	scale (of fish)	SouthernPwo	bɛĩ_⁵⁵	b ɛĩ ⁵⁵	bɛĩ ⁵⁵		
2807	cʰ a ⁵³	248	2953	sell	SouthernPwo	cha⁵³	cʰ a ⁵³	cha⁵³		
2808	n.w ɛ Ø/ɦ.³¹	250	2973	seven	SouthernPwo	nwɛ³¹̈	n.w ɛ Ø/ɦ.³¹	nwɛ³¹ ̈		
2809	cʰ a.ʔ ²¹	251	2986	sew	SouthernPwo	chaɁ²¹	cʰ a.ʔ ²¹	chaɁ²¹		
2810	θ u ⁵⁵	253	3006	sheep	SouthernPwo	-θu⁵⁵	θ u ⁵⁵	-θu⁵⁵		
2811	kʰ a.ʔ ²¹	255	3034	shoot (v.)	SouthernPwo	khaɁ²¹	kʰ a.ʔ ²¹	khaɁ²¹		
2812	pʰ ɨ ⁵⁵	256	3047	short, low	SouthernPwo	phɨ⁵⁵	pʰ ɨ ⁵⁵	phɨ⁵⁵		
2813	tʰ.!Ø/w ə̤̃ɨ ⁵³	258	3067	shove (with the foot)	SouthernPwo	thə̃ɨ⁵³	tʰ.!Ø/w ə̤̃ɨ ⁵³	thə̃ɨ⁵³		
2814	x ou ⁵³	259	3077	six	SouthernPwo	xou⁵³	x ou ⁵³	xou⁵³		
2815	pʰ.l e.ʔ ⁴⁵	260	3088	skink	SouthernPwo	phleɁ⁴⁵	pʰ.l e.ʔ ⁴⁵	phleɁ⁴⁵		
2816	pʰ.l i ⁵³	262	3113	slippery	SouthernPwo	phli⁵³	pʰ.l i ⁵³	phli⁵³		
2817	n ə̤̃ɨ ⁵³	263	3125	smell (v.)	SouthernPwo	nə̃ɨ⁵³	n ə̤̃ɨ ⁵³	nə̃ɨ⁵³		
2818	kʰ.l u ⁵⁵	264	3136	snail (land~)	SouthernPwo	khlu⁵⁵	kʰ.l u ⁵⁵	khlu⁵⁵		
2819	β ou ³³	266	3154	snake	SouthernPwo	βou³³	β ou ³³	βou³³		
2820	m a.ʔ ⁴⁵	267	3167	son-in-law	SouthernPwo	maɁ⁴⁵	m a.ʔ ⁴⁵	maɁ⁴⁵		
2821	cʰ !ãi/ɔ̃ ⁵⁵	268	3179	sour	SouthernPwo	chãi⁵⁵	cʰ !ãi/ɔ̃ ⁵⁵	chãi⁵⁵		
2822	kʰ ɔ̃ Ø/ɦ.³¹	269	3192	spider	SouthernPwo	khɔ̃³¹̈	kʰ ɔ̃ Ø/ɦ.³¹	khɔ̃³¹ ̈		
2823	tʰ u ⁵³	270	3205	spit (v.)	SouthernPwo	thu⁵³	tʰ u ⁵³	thu⁵³		
2824	m ɔ̃ ⁵³	271	3215	spleen	SouthernPwo	mɔ̃⁵³	m ɔ̃ ⁵³	mɔ̃⁵³		
2825	b.l a ⁵⁵	272	3227	split (bamboo strip)	SouthernPwo	bla⁵⁵	b.l a ⁵⁵	bla⁵⁵		
2826	p.r u ɦ.³¹	273	3236	spray (v.)	SouthernPwo	pru³¹̈	p.r u ɦ.³¹	pru³¹ ̈		
2827	d a Ø/ɦ.³¹	274	3246	spread out (a mat)	SouthernPwo	da³¹̈	d a Ø/ɦ.³¹	da³¹ ̈		
2828	cʰ ɛ̃i ³³	275	3259	squeeze, massage	SouthernPwo	chɛ̃i³³	cʰ ɛ̃i ³³	chɛ̃i³³		
2829	l ei ⁵⁵	276	3271	squirrel	SouthernPwo	lei⁵⁵	l ei ⁵⁵	lei⁵⁵		
2830	tʰ ə̃ ⁵⁵	277	3282	stand (v.)	SouthernPwo	thə̃⁵⁵	tʰ ə̃ ⁵⁵	thə̃⁵⁵		
2831	ɕ a ⁵⁵	278	3295	star	SouthernPwo	ɕa⁵⁵	ɕ a ⁵⁵	ɕa⁵⁵		
2832	pʰ ou ⁵³	281	3324	stomach	SouthernPwo	phou⁵³	pʰ ou ⁵³	phou⁵³		
2833	l õu ³³	282	3338	stone, rock	SouthernPwo	lõu³³	l õu ³³	lõu³³		
2834	pʰ.l ei ɦ.³¹	283	3351	string, rope	SouthernPwo	phlei³¹̈	pʰ.l ei ɦ.³¹	phlei³¹ ̈		
2835	θ ə ¹¹ + w ai.ʔ ³¹	284	3365 3364	suck	SouthernPwo	θə¹¹_waiɁ³¹	θ ə ¹¹ + w ai.ʔ ³¹	θə¹¹ waiɁ³¹		
2836	m ɨ ³³	285	3375	sun	SouthernPwo	mɨ³³	m ɨ ³³	mɨ³³	sun	
2837	kʰ u ³³	286	3388	sunlight, hot	SouthernPwo	khu³³	kʰ u ³³	khu³³		
2838	tʰ u ⁵⁵	287	3402	sway, swing	SouthernPwo	thu⁵⁵	tʰ u ⁵⁵	thu⁵⁵		
2839	j u.ʔ ²¹	288	3410	swollen, swelling	SouthernPwo	juɁ²¹	j u.ʔ ²¹	juɁ²¹		
2840	m i ³³	289	3423	tail	SouthernPwo	mi³³	m i ³³	mi³³	tail	
2841	b.l a Ø/ɦ.³¹	290	3436	tasteless, faded	SouthernPwo	bla³¹̈	b.l a Ø/ɦ.³¹	bla³¹ ̈		
2842	cʰ ei ⁵³	291	3445	ten	SouthernPwo	chei⁵³	cʰ ei ⁵³	chei⁵³		
2843	tʰ.!Ø/w ɔ̃ ⁵⁵	292	3458	tendon	SouthernPwo	thɔ̃⁵⁵	tʰ.!Ø/w ɔ̃ ⁵⁵	thɔ̃⁵⁵		
2844	!p/pʰ u ³³ + ʔ ɔ̃ Ø/ɦ.³¹	293	3466 3468	termite	SouthernPwo	pu³³Ɂɔ̃³¹̈	!p/pʰ u ³³ + ʔ ɔ̃ Ø/ɦ.³¹	pu³³Ɂɔ̃³¹ ̈		
2845	pʰ ɛi ³³	294	3485	termite (winged~)	SouthernPwo	phɛi³³	pʰ ɛi ³³	phɛi³³		
2846	pʰ.l õu ³³	295	3500	termite mound	SouthernPwo	phlõu³³	pʰ.l õu ³³	phlõu³³		
2847	b aə Ø/ɦ.³¹	297	3518	thin (as of cloth)	SouthernPwo	baə³¹̈	b aə Ø/ɦ.³¹	baə³¹ ̈		
2848	tʰ ɔ̃ ⁵³	298	3530	thousand	SouthernPwo	thɔ̃⁵³	tʰ ɔ̃ ⁵³	thɔ̃⁵³		
2849	tʰ ou ³³	299	3545	thread (a needle)	SouthernPwo	thou³³	tʰ ou ³³	thou³³		
2850	s ə̃ ⁵³	300	3557	three	SouthernPwo	sə̃⁵³	s ə̃ ⁵³	sə̃⁵³		
2851	kʰ ei ⁵⁵	301	3570	tick	SouthernPwo	khei⁵⁵	kʰ ei ⁵⁵	khei⁵⁵		
2852	c ə̃ ɦ.³¹	302	3581	tie (a string)	SouthernPwo	cə̃³¹̈	c ə̃ ɦ.³¹	cə̃³¹ ̈		
2853	kʰ i ⁵³	303	3594	tiger	SouthernPwo	khi⁵³	kʰ i ⁵³	khi⁵³		
2854	kʰ ɛ̃i ⁵³	304	3607	tilted	SouthernPwo	khɛ̃i⁵³	kʰ ɛ̃i ⁵³	khɛ̃i⁵³		
2855	d i ⁵⁵ + s ou ⁵⁵	305	1498 3618	toad	SouthernPwo	di⁵⁵sou⁵⁵	d i ⁵⁵ + s ou ⁵⁵	di⁵⁵sou⁵⁵	frog toad	
2856	pʰ.l i ɦ.³¹	307	3654	tongue	SouthernPwo	phli³¹̈	pʰ.l i ɦ.³¹	phli³¹ ̈		
2857	tʰ e.ʔ ⁴⁵	308	3667	torn	SouthernPwo	theɁ⁴⁵	tʰ e.ʔ ⁴⁵	theɁ⁴⁵		
2858	kʰ.l ai.ʔ ³¹	309	3680	tortoise	SouthernPwo	khlaiɁ³¹	kʰ.l ai.ʔ ³¹	khlaiɁ³¹		
2859	j !ãi/ɔ̃ ³³	310	3693	tread	SouthernPwo	jãi³³	j !ãi/ɔ̃ ³³	jãi³³	tread	
2860	m.l õ ɦ.³¹	312	3713	trunk (of an elephant)	SouthernPwo	mlõ³¹̈	m.l õ ɦ.³¹	mlõ³¹ ̈		
2861	n ei ⁵³	313	3726	two	SouthernPwo	nei⁵³	n ei ⁵³	nei⁵³		
2862	cʰ ei ⁵⁵	314	3740	urine	SouthernPwo	chei⁵⁵	cʰ ei ⁵⁵	chei⁵⁵		
2863	l ɛĩ ³³	315	3752	vagina	SouthernPwo	lɛĩ_³³	l ɛĩ ³³	lɛĩ ³³		
